Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Male,24,B.Sc. Fisheries(Hons.),Sher-e-bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,BANGLADESH ,0,0,Student (Local)
Male,21,Bachelor,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,Not yet any,No,Student (Local)
Male,23,Forth Year ,Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,00,0,Student (Local)
Female,25,Forth,Sher-e-bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Male,24,Forth year,Sher e Bangla Agricultural university,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,No,No,Student (Local)
Female,24,Bachelor ,"Sher E Bangla Agricultural University, Dhaka ",Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,NA,NA,Student (Local)
Male,25,Bachelor(Fourth year),"Sher-e-Bangla Agricultural University, Dhaka",Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,No publications,No publications,Student (Local)
Female,23,4th year,Sherebangla agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,No,No,Student (Local)
Male,23,Fourth year,Sher-e-Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh,N/A,N/A,Student (Local)
Female,25,Bachelor ,Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,N/A,N/A,Student (Local)
Male,23,3rd year,ShereBangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Fisheries and Marine Science,"Dhaka, Bangladesh ",Haven't ,Haven’t ,Student (Local)
Male,24,Third year (Hons.),Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),"HSC, Bachelor",Fisheries and Marine Science,Bangladesh ,Not yet.,Not yet,Student (Local)
Female,24,4,Sher -e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,No,No,Student (Local)
Male,24,Bachelor (3rd year),Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,N/A,N/A,Student (Local)
Female,30,Master's,Rajshahi  University ,Rajshahi  University,Public University (General),Masters/MS,Biochemistry,Bangladesh ,1,4,Researcher (Local/abroad)
Male,23,Sher e bangla agricultural university ,Sher e bangla agricultural university,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,1,1,Student (Local)
Male,20,Third,University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,23,Bachelor(Third year),University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Female,21,Bachelor third year,University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,No,No,Student (Local)
Male,24,B.Sc Fisheries (Hons),Sher-E-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,N/A,N/A,Student (Local)
Male,24,3rd year . B.s (hons),University of Dhaka ,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh ,No,No,Student (Local)
Male,23,Forth Year,Sher-e-Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,N/A,N/A,Student (Local)
Male,22,Graduate(B.Sc. Fisheries),Sher-E-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,22,Third year,University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,No publications,No publications,Student (Local)
Male,22,Third,University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,21,Bachelor ,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Female,22,Third,Microbiology,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladeshi,0,0,Student (Local)
Male,22,Third year,University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,24,Bachelor third year ,Department of microbiology university of Dhaka ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,.,.,Student (Local)
Female,22,Third year Honours ,University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,24,Third year,Sher e Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,35,Masters,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,5,Service (Local/abroad)
Male,22,Bachelor Third year,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,Zero,Zero,Student (Local)
Female,24,B.Sc.Ag.(Hons ),Shere Bangla agricultural university,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,No,No,Student (Local)
Female,21,Honours 2nd year,University of Dhaka ,Dhaka University,Public University (General),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,2,2,Student (Local)
Female,28,Lecturer,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,1,1,Teacher (Local)
Female,23,Bachelor's 4th year.,University of Dhaka,Dhaka University,Public University (General),Bachelor,Biochemistry,Bangladesh,0,0,Student (Local)
Male,23,Bachelor forth year,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,None,None,Student (Local)
Female,22,Bachelor third year,Dhaka University ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,24,3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh ,0,0,Student (Local)
Male,28,Master's,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,0,Student (Local)
Female,24,Third year,Sylhet agricultural university,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh,No,have no publications,Student (Local)
Female,23,Third Year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh,20,40,Student (Local)
Female,21,Honours 3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),"HSC, Bachelor",Fisheries and Marine Science,Bangladesh ,None,None,Student (Local)
Female,22,Third Year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Female,21,Hons 3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladeshi,0,0,Student (Local)
Male,25,Third Year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh ,None,None ,Student (Local)
Male,28,Master’s ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Public health,Bangladesh ,01,06,Student (Local)
Male,30,Master's,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,2,0,Service (Local/abroad)
Male,22,"DVM Level-3, Semester-2",Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,0,0,Student (Local)
Male,30,"Job seeker, compiled PhD ",Yamaguchi University ,Yamaguchi University,Abroad University,PhD,Cell biology ,Bangladesh ,0,2,Researcher (Local/abroad)
Female,22,Bachelor third year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Food and Nutrition,Bangladesh,0,0,Student (Local)
Male,23,"L-3, S-2",Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh ,none,none,Student (Local)
Female,28,Service holder,Habib Jubayer Government primary school ,Habib Jubayer Government primary school,Others,Masters/MS,Veterinary Science,Bangladesh ,0,0,Teacher (Local)
Male,24,3rd,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,"Sylhet, Bangladesh ",N/A,N/A,Student (Local)
Male,25,Lecturer,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,13,Teacher (Local)
Male,23,4th year,Sylhet agricultural university,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh,0,0,Student (Local)
Male,26,MSc,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),PhD,Agricultural Engineering & Technology,Bangladesh,0,2,Student (Local)
Female,22,Third year,Dhaka university,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,22,Bachelor (Third year) ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Female,24,"B.Sc.Ag.(hons') ,  L-4, sem-2","Sher-e-bangla Agricultural University,Dhaka    ",Sher -e-Bangla Agricultural University,Public University (Agriculture),"HSC, Bachelor",Agriculture,Bangladesh ,No,No,Student (Local)
Male,25,Masters,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Biochemistry,Bangladesh,1,1,Student (Local)
Male,22,Bachelor 3rd year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh,0,0,Student (Local)
Male,23,Bachelor(third year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,No,No,Student (Local)
Male,27,Bachelor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,"Sylhet,Bangladesh",No,No,Student (Local)
Female,23,Forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,Under reviewed in sage open ,Student (Local)
Female,23,4th,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Female,22,Forth year,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Female,22,Third Year ,"Sylhet Agricultural University, Sylhet",Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,No,No,Student (Local)
Female,22,4th year,"Sylhet Agricultural University, Sylhet ",Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics and business studies ,Bangladesh ,0,0,Student (Local)
Female,21,Bachelor third year,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh,None,None,Student (Local)
Female,23,Fourth year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh,nothing,nothing,Student (Local)
Male,28,Master's,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,0,0,Student (Local)
Male,31,Assistant professor,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh ,5,3,Teacher (Local)
Male,24,Student (4th year),Sher E Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),"HSC, Bachelor",Agriculture,Bangladesh,0,0,Student (Local)
Male,20,Bachelor (Third year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,23,Third yeard,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,24,Forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),"Bachelor, Masters/MS",Veterinary Science,Bangladesh,0,0,Student (Local)
Male,22,Third Year ,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,None Yet ( Eagerly Interested) ,None Yet ( Eagerly Interested) ,Student (Local)
Male,22,Third,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh,0,0,Student (Local)
Male,23,Third year,"Sylhet  Agricultural University, Sylhet ",Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24,Bachelor third year,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,Not yet,Not yet,Student (Local)
Female,22,Bachelor's 3rd year,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,None,None,Student (Local)
Female,23,3rd year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,24,Bachelor ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,No publications ,No publications,Student (Local)
Female,23,Third year,"Sylhet agricultural university, Sylhet, Bangladesh ",Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24,third,Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,no,no,Student (Local)
Male,20,Bachelor (First Year),University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,00,00,Student (Local)
Female,22,Third year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,3,Student (Local)
Female,35,Bds dental surgeon 4th year ,Rajshahi university ,Rajshahi  University,Public University (General),M.Phil.,Dentistry ,Bangladesh,1,2,Teacher (Local)
Male,23,Master’s ,University of Dhaka ,Dhaka University,Public University (General),Bachelor,Biochemistry,Bangladesh ,0,0,Student (Local)
Female,21,Bachelor ( 1st year),Dhaka University ,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh ,0,0,Student (Local)
Female,23,Hons. 3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Female,22,Bachelors 3rd ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,24,Third,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh,0,0,Student (Local)
Male,43,Associate Professor,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),PhD,Biotechnology/Genetic Engineering,Bangladesh,4,21,Teacher (Local)
Female,22,Third year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,None,None,Student (Local)
Male,28,Master's,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,2,1,Student (Local)
Female,21,1st year of Bachelor degree,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,21,3rd,Sylhet Agricultural  University   ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,0,0,Student (Local)
Female,22,Third year,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Female,23,Third year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh,0,0,Student (Local)
Female,21,"Sylhet Agricultural University,Faculty of Agricultural Economics and Business Studies,Third year",Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,No,No,Student (Local)
Female,22,Third year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh,0,0,Student (Local)
Male,23,Forth year,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics And Business Studies ,Bangladesh ,0,0,Student (Local)
Female,23,Third year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Business Studies ,"Sylhet, Bangladesh ",0,2,Student (Local)
Female,21,Bachelor(Third Year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics and Business Studies,Bangladesh ,N/A,N/A,Student (Local)
Female,22,Bachelor(Third),Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh ,No,No,Student (Local)
Male,29,Service holder,NEW HOPE,NEW HOPE,Diagnostic centre,Masters/MS,Veterinary Science,Bangladesh,Nil,4,Service (Local/abroad)
Male,22,Third,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics and Business Studies ,Bangladesh ,0,0,Student (Local)
Male,19,1st year ,University of Dhaka ,Dhaka University,Public University (General),HSC,Biochemistry and Molecular Biology ,Bangladesh ,0,0,Student (Local)
Male,19,First Year ,University of Dhaka ,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,00,00,Student (Local)
Female,22,Bachelor 3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,1,Student (Local)
Female,30,"Lecturer, Department of Anatomy & Histology ",Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,2,0,Teacher (Local)
Male,28,Phd student,Nagoya university,Nagoya university,Abroad University,Masters/MS,Biochemistry,Japan,1,2,Student (Local)
Male,37, Scientific Officer,"VDRAD, IFRB, AERE, Bangladesh Atomic Energy Commission ","VDRAD, IFRB, AERE, Bangladesh Atomic Energy Commission",Abroad University,Masters/MS,Biochemistry,Japan,4,5,Researcher (Local/abroad)
Female,23,Bechelor Third,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh ,Zero,Zero,Student (Local)
Female,23,Bachelor 4th year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,None,None,Student (Local)
Male,24,Fourth ,University of Dhaka ,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh ,0,0,Student (Local)
Female,22,3rd,Sau,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Sylhet ,2,0,Student (Local)
Male,40,Associate Professor ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,14,8,Teacher (Local)
Female,24,Master's,Dhaka University,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh,0,01,Student (Local)
Female,25,"Level-4, Semester-2","Sher-e-Bangla Agricultural University, Dhaka-1207 ",Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Fisheries and Marine Science,Bangladesh ,N/A,N/A,Student (Local)
Male,27,Assist. Manager ,Eskayef Pharmaceutical Ltd.  ,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,DVM,Veterinary Science,Bangladesh ,0,0,Service (Local/abroad)
Female,18,1st year,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,N/A,N/A,Student (Local)
Male,19,1st year of bachelor degree,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,0,0,Student (Local)
Female,21,1st Year of Bachelor Degree,University of Dhaka,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh,0,0,Student (Local)
Male,22,Third year,University of Rajshahi ,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,No,No,Student (Local)
Male,30,Masters,"Sylhet Agricultural University, Sylhet",Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,0,1,Service (Local/abroad)
Male,23,5th year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh,N/A,7,Student (Local)
Female,22,Third,University of Rajshahi ,Rajshahi  University,Public University (General),HSC,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,24,Master’s ,University of Rajshahi ,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,N/A,N/A,Student (Local)
Female,24,3rd,BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh ,no,no,Student (Local)
Male,23,Master’s ,Md Rasel Gazi,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,24,B.Sc,RU,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,None,None,Student (Local)
Female,23,Master’s ,Bangabandhu Sheikh Mujibur Rahman science and technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Khulna ,0,0,Student (Local)
Female,23,Forth year undergraduate student,Rajshahi University ,Rajshahi  University,Public University (General),HSC,Biochemistry,Bangladesh ,None,None,Student (Local)
Female,23,4th,Bangabandhu Sheikh Mujibur Rahman Science and Technology University    ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,24,Forth Year,University of Rajshahi ,Rajshahi  University,Public University (General),"HSC, Bachelor",Biochemistry,Bangladesh ,None ,None,Student (Local)
Male,22,3rd year ,University of Rajshahi ,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh ,No,No,Student (Local)
Male,29,Scientific Officer,Bangladesh Livestock Research Institute,Bangladesh Livestock Research Institute,Research Organization,Masters/MS,Veterinary Science,Bangladesh ,0,0,Researcher (Local/abroad)
Male,22,Third,University of Rajshahi,Rajshahi  University,Public University (General),HSC,Biochemistry,Bangladesh ,none,none,Student (Local)
Female,21,Third,Dhaka university ,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh ,N/A,N/A,Student (Local)
Female,21,Bachelor third year,University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,Zero,Zero,Student (Local)
Male,23,4th,University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Male,24,Bachelor (Fourth Year),University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,24,Master's,AKM Tariqul Hasan,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh,0,01,Student (Local)
Male,24,4th year,Dhaka University,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,27,Associate Scientist,Square Pharmaceuticals Ltd.,Square Pharmaceuticals Ltd,Phermaceuticals Company,Masters/MS,Biochemistry,Bangladesh,01,01,Researcher (Local/abroad)
Male,25,MS,BSMRAU,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,0,0,Student (Local)
Female,24,Master’s ,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalgonj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,No,2,Student (Local)
Male,26,B.Sc. in Biotechnology & Genetic Engineering ,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Female,22,Bachelor(third year),University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Female,25,Master's,Bangabandhu Sheikh Mujibur Rahman Agricultural  University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,0,0,Student (Local)
Female,24,Student(Master's) ,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,0,0,Student (Local)
Male,24,4th year,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),"HSC, Bachelor",Biochemistry,Bangladesh ,None,None,Student (Local)
Female,24,Master's,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh,None,None,Student (Local)
Female,27,Masters,"Sylhet At University, Sylhet",Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,No,No,Student (Local)
Male,24,Bachelor ,University of Dhaka,Dhaka University,Public University (General),Bachelor,Biochemistry,Bangladesh,None ,None,Student (Local)
Female,29,Assistant Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,5,1,Teacher (Local)
Male,23,Bachelor (Forth Year),Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,None,None,Student (Local)
Male,24,Master’s ,University of Dhaka ,Dhaka University,Public University (General),Bachelor,Biochemistry,Bangladesh ,None ,None ,Student (Local)
Male,21,B.Sc. 4th year,Rajshahi University,Rajshahi  University,Public University (General),HSC,Biochemistry,Bangladesh,0,0,Student (Local)
Male,23,intern doctor,BSMRAU,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh,0,0,Student (Local)
Female,20,Bachelor,Dhaka University ,Dhaka University,Public University (General),HSC,Biochemistry,Bangladesh ,Oo,Oo,Student (Local)
Male,24,Bachelor,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biochemistry,Bangladesh ,Zero,Zero,Student (Local)
Male,23,M.Sc student,Rajshahi University,Rajshahi  University,Public University (General),Bachelor,Biochemistry,Bangladesh,None,None,Student (Local)
